product_name,product_category
Person Tablet Lite,Electronics
Near Car Vacuum X,Automotive
Choice Jacket Edition,Clothing
Board Smartphone Edition,Electronics
Order Yoga Mat Plus,Sports & Outdoors
Possible Puzzle X,Toys
Raise Rice,Groceries
Director Building Blocks Pro,Toys
Role Vacuum Cleaner Lite,Home Appliances
Product Sweater Pro,Clothing
Identify Camping Tent Plus,Sports & Outdoors
Life Face Wash Edition,Beauty & Personal Care
Share Washing Machine X,Home Appliances
According Rice Pro,Groceries
Husband Puzzle Plus,Toys
Grow Biography Plus,Books
Let Smartwatch X,Electronics
Fly Cookbook Lite,Books
Election Olive Oil Max,Groceries
Voice Lipstick Lite,Beauty & Personal Care
My Yoga Mat Lite,Sports & Outdoors
Professional Vacuum Cleaner X,Home Appliances
Establish Smartphone Max,Electronics
Cold Biography Pro,Books
Picture Building Blocks Lite,Toys
Western Board Game Pro,Toys
Sea Snack Bar,Groceries
Per Olive Oil X,Groceries
Let Tablet Lite,Electronics
Public Snack Bar Plus,Groceries
Ok Microwave Lite,Home Appliances
Together Olive Oil Lite,Groceries
Role Thermometer Lite,Health & Wellness
Stage Pasta Edition,Groceries
Represent Comics X,Books
Describe Conditioner Plus,Beauty & Personal Care
Chance Yoga Mat Max,Sports & Outdoors
City Conditioner Plus,Beauty & Personal Care
Population Cookbook Plus,Books
Remember Washing Machine Pro,Home Appliances
Administration Building Blocks X,Toys
Forward Novel Plus,Books
Money Lipstick X,Beauty & Personal Care
Agreement Tablet Pro,Electronics
Group Smartphone Lite,Electronics
Upon Tire Inflator Edition,Automotive
Cold Cookbook Max,Books
Generation Vacuum Cleaner Lite,Home Appliances
Employee Protein Powder Plus,Health & Wellness
Require T-Shirt Edition,Clothing
Sister Moisturizer X,Beauty & Personal Care
Must Snack Bar,Groceries
Behind Moisturizer Edition,Beauty & Personal Care
Before Tennis Racket Max,Sports & Outdoors
Often Comics,Books
Guess Phone Mount Plus,Automotive
How Protein Powder Max,Health & Wellness
Military Olive Oil,Groceries
Music Phone Mount Pro,Automotive
Yet Action Figure Pro,Toys
Share Smartphone Lite,Electronics
Check Conditioner X,Beauty & Personal Care
Foot T-Shirt Pro,Clothing
Know Rice Edition,Groceries
Blue T-Shirt X,Clothing
Voice Jacket,Clothing
Reduce Thermometer X,Health & Wellness
Class Rice Edition,Groceries
Guy Massage Gun Max,Health & Wellness
Edge Refrigerator Lite,Home Appliances
Computer Textbook Plus,Books
Brother Thermometer,Health & Wellness
Present Jump Starter Plus,Automotive
Feel Textbook Pro,Books
Choose Rice Plus,Groceries
Phone Thermometer Lite,Health & Wellness
Plant Cereal Pro,Groceries
Argue Dress Plus,Clothing
Guess Jump Starter Max,Automotive
Hard Action Figure Max,Toys
Join T-Shirt Max,Clothing
Pretty Dumbbells Pro,Sports & Outdoors
Issue Conditioner Max,Beauty & Personal Care
Discuss Phone Mount,Automotive
Health Moisturizer X,Beauty & Personal Care
Able Jump Starter Edition,Automotive
Report Camping Tent Max,Sports & Outdoors
Cultural Cookbook Edition,Books
Can Smartwatch Max,Electronics
Without Massage Gun X,Health & Wellness
Usually Jump Starter,Automotive
Me Car Cover X,Automotive
Often Car Cover Edition,Automotive
Subject Car Cover X,Automotive
Bill Dumbbells X,Sports & Outdoors
Middle Face Wash X,Beauty & Personal Care
List Novel Plus,Books
Wish Textbook Lite,Books
Positive Yoga Mat X,Sports & Outdoors
The Lipstick Edition,Beauty & Personal Care
