product_name,product_category
Radiator Hose,Automotive
Brick Set,Construction
Circuit Board,Electronics
Brake Pad,Automotive
Pallet Film,Packaging
Sterile Swab,Medical Supplies
Gloves,Medical Supplies
Bubble Mailer,Packaging
Steel Rod,Raw Materials
Dried Spices,Food Ingredients
Copper Wire,Raw Materials
Plastic Wrap,Packaging
LED Display,Electronics
Corrugated Box,Packaging
IV Set,Medical Supplies
Dried Spices,Food Ingredients
Aluminum Sheet,Raw Materials
IV Set,Medical Supplies
Gloves,Medical Supplies
Sensor Chip,Electronics
Cement Bag,Construction
Wool Yarn,Textiles
Seed Pack,Agriculture
Canned Tomato,Food Ingredients
Drywall Panel,Construction
Cement Bag,Construction
Cement Bag,Construction
Canned Tomato,Food Ingredients
Sterile Swab,Medical Supplies
Silk Fabric,Textiles
Brick Set,Construction
Oil Filter,Automotive
Aluminum Sheet,Raw Materials
Cooking Oil,Food Ingredients
Steel Rod,Raw Materials
Cement Bag,Construction
Pallet Film,Packaging
Oil Filter,Automotive
Lubricant Oil,Chemicals
Brake Pad,Automotive
Aluminum Sheet,Raw Materials
Aluminum Sheet,Raw Materials
Corrugated Box,Packaging
Sensor Chip,Electronics
Aluminum Sheet,Raw Materials
Plastic Wrap,Packaging
Cleaning Solvent,Chemicals
Corrugated Box,Packaging
Gloves,Medical Supplies
Polymer Resin,Raw Materials
Bubble Mailer,Packaging
Corrugated Box,Packaging
IV Set,Medical Supplies
IV Set,Medical Supplies
Fuel Injector,Automotive
Wheat Flour,Food Ingredients
Corrugated Box,Packaging
Steel Rod,Raw Materials
IV Set,Medical Supplies
Silk Fabric,Textiles
Cotton Roll,Textiles
Copper Wire,Raw Materials
Sterile Swab,Medical Supplies
Pallet Film,Packaging
Dried Spices,Food Ingredients
Bubble Mailer,Packaging
Circuit Board,Electronics
Surgical Mask,Medical Supplies
LED Display,Electronics
Steel Rod,Raw Materials
IV Set,Medical Supplies
Fuel Injector,Automotive
Aluminum Sheet,Raw Materials
Cleaning Solvent,Chemicals
Pallet Film,Packaging
Sensor Chip,Electronics
Pallet Film,Packaging
Bubble Mailer,Packaging
Gloves,Medical Supplies
Industrial Acid,Chemicals
Oil Filter,Automotive
Cotton Roll,Textiles
Cotton Roll,Textiles
Industrial Acid,Chemicals
Drywall Panel,Construction
Copper Wire,Raw Materials
Brick Set,Construction
Cement Bag,Construction
Organic Fertilizer,Agriculture
Aluminum Sheet,Raw Materials
Polymer Resin,Raw Materials
Plastic Wrap,Packaging
LED Display,Electronics
Pallet Film,Packaging
Pallet Film,Packaging
Wool Yarn,Textiles
Gloves,Medical Supplies
Polymer Resin,Raw Materials
Corrugated Box,Packaging
Radiator Hose,Automotive
Fuel Injector,Automotive
Wool Yarn,Textiles
Polymer Resin,Raw Materials
Wheat Flour,Food Ingredients
Brick Set,Construction
Gloves,Medical Supplies
Cement Bag,Construction
Radiator Hose,Automotive
Pallet Film,Packaging
LED Display,Electronics
Sterile Swab,Medical Supplies
Brake Pad,Automotive
Cleaning Solvent,Chemicals
Pallet Film,Packaging
Sensor Chip,Electronics
Oil Filter,Automotive
Cotton Roll,Textiles
Steel Rebar,Construction
Wheat Flour,Food Ingredients
Cotton Roll,Textiles
Canned Tomato,Food Ingredients
Brake Pad,Automotive
Cement Bag,Construction
Irrigation Pump,Agriculture
Sterile Swab,Medical Supplies
Cement Bag,Construction
Canned Tomato,Food Ingredients
Cement Bag,Construction
Sterile Swab,Medical Supplies
Lubricant Oil,Chemicals
Wool Yarn,Textiles
Dried Spices,Food Ingredients
Fuel Injector,Automotive
Surgical Mask,Medical Supplies
Radiator Hose,Automotive
Steel Rod,Raw Materials
Gloves,Medical Supplies
Polymer Resin,Raw Materials
Corrugated Box,Packaging
Polyester Sheet,Textiles
Aluminum Sheet,Raw Materials
Plastic Wrap,Packaging
Dried Spices,Food Ingredients
Steel Rod,Raw Materials
Cooking Oil,Food Ingredients
Aluminum Sheet,Raw Materials
Pallet Film,Packaging
LED Display,Electronics
Pallet Film,Packaging
Steel Rebar,Construction
Seed Pack,Agriculture
Plastic Wrap,Packaging
Cleaning Solvent,Chemicals
Brick Set,Construction
Sensor Chip,Electronics
Steel Rod,Raw Materials
Copper Wire,Raw Materials
Drywall Panel,Construction
Industrial Acid,Chemicals
Gloves,Medical Supplies
Polymer Resin,Raw Materials
Corrugated Box,Packaging
Silk Fabric,Textiles
Polymer Resin,Raw Materials
IV Set,Medical Supplies
Circuit Board,Electronics
Polymer Resin,Raw Materials
Gloves,Medical Supplies
Surgical Mask,Medical Supplies
Fuel Injector,Automotive
Fuel Injector,Automotive
Corrugated Box,Packaging
Plastic Wrap,Packaging
Cooking Oil,Food Ingredients
Surgical Mask,Medical Supplies
Oil Filter,Automotive
Compost Bin,Agriculture
Copper Wire,Raw Materials
Cooking Oil,Food Ingredients
Steel Rebar,Construction
Corrugated Box,Packaging
LED Display,Electronics
Canned Tomato,Food Ingredients
Irrigation Pump,Agriculture
Cement Bag,Construction
Aluminum Sheet,Raw Materials
IV Set,Medical Supplies
Aluminum Sheet,Raw Materials
Corrugated Box,Packaging
Brick Set,Construction
Brick Set,Construction
Lubricant Oil,Chemicals
Power Supply Unit,Electronics
Cement Bag,Construction
Wool Yarn,Textiles
Dried Spices,Food Ingredients
Cement Bag,Construction
Fuel Injector,Automotive
Bubble Mailer,Packaging
Corrugated Box,Packaging
LED Display,Electronics
Copper Wire,Raw Materials
Dried Spices,Food Ingredients
IV Set,Medical Supplies
Polymer Resin,Raw Materials
Power Supply Unit,Electronics
Pallet Film,Packaging
Paint Thinner,Chemicals
Corrugated Box,Packaging
Pallet Film,Packaging
Seed Pack,Agriculture
Silk Fabric,Textiles
Steel Rod,Raw Materials
Steel Rod,Raw Materials
Bubble Mailer,Packaging
Copper Wire,Raw Materials
Lubricant Oil,Chemicals
Cement Bag,Construction
Brake Pad,Automotive
Aluminum Sheet,Raw Materials
Corrugated Box,Packaging
Aluminum Sheet,Raw Materials
Gloves,Medical Supplies
Cotton Roll,Textiles
LED Display,Electronics
Dried Spices,Food Ingredients
Drywall Panel,Construction
Pallet Film,Packaging
Paint Thinner,Chemicals
Canned Tomato,Food Ingredients
Oil Filter,Automotive
Wheat Flour,Food Ingredients
Polymer Resin,Raw Materials
Copper Wire,Raw Materials
Power Supply Unit,Electronics
Copper Wire,Raw Materials
Canned Tomato,Food Ingredients
Brake Pad,Automotive
Copper Wire,Raw Materials
Dried Spices,Food Ingredients
Polymer Resin,Raw Materials
Wool Yarn,Textiles
Sensor Chip,Electronics
Steel Rebar,Construction
Aluminum Sheet,Raw Materials
Fuel Injector,Automotive
Copper Wire,Raw Materials
Pallet Film,Packaging
Paint Thinner,Chemicals
Plastic Wrap,Packaging
Wool Yarn,Textiles
Lubricant Oil,Chemicals
Wheat Flour,Food Ingredients
Cotton Roll,Textiles
Wheat Flour,Food Ingredients
Polymer Resin,Raw Materials
Wool Yarn,Textiles
Irrigation Pump,Agriculture
Surgical Mask,Medical Supplies
Brick Set,Construction
Steel Rod,Raw Materials
Copper Wire,Raw Materials
Brake Pad,Automotive
Steel Rod,Raw Materials
Brick Set,Construction
Polymer Resin,Raw Materials
Cooking Oil,Food Ingredients
Dried Spices,Food Ingredients
Cleaning Solvent,Chemicals
Fuel Injector,Automotive
LED Display,Electronics
Sterile Swab,Medical Supplies
Bubble Mailer,Packaging
Steel Rod,Raw Materials
Wheat Flour,Food Ingredients
Industrial Acid,Chemicals
Fuel Injector,Automotive
Plastic Wrap,Packaging
Power Supply Unit,Electronics
Fuel Injector,Automotive
Pallet Film,Packaging
Bubble Mailer,Packaging
Paint Thinner,Chemicals
Canned Tomato,Food Ingredients
Dried Spices,Food Ingredients
Steel Rod,Raw Materials
Steel Rod,Raw Materials
Pallet Film,Packaging
Paint Thinner,Chemicals
Plastic Wrap,Packaging
Power Supply Unit,Electronics
Steel Rebar,Construction
Irrigation Pump,Agriculture
Brake Pad,Automotive
Cooking Oil,Food Ingredients
Industrial Acid,Chemicals
Sensor Chip,Electronics
Plastic Wrap,Packaging
Circuit Board,Electronics
Steel Rod,Raw Materials
